,date,N
0,2020-01-01 00:00:00+01:00,-0.58
1,2020-01-01 00:00:10+01:00,-0.59
2,2020-01-01 00:00:20+01:00,-0.63
3,2020-01-01 00:00:30+01:00,-0.66
4,2020-01-01 00:00:40+01:00,-0.68
5,2020-01-01 00:00:50+01:00,-0.69
6,2020-01-01 00:01:00+01:00,-0.72
7,2020-01-01 00:01:10+01:00,-0.74
8,2020-01-01 00:01:20+01:00,-0.77
9,2020-01-01 00:01:30+01:00,-0.79
10,2020-01-01 00:01:40+01:00,-0.82
11,2020-01-01 00:01:50+01:00,-0.84
12,2020-01-01 00:02:00+01:00,-0.87
13,2020-01-01 00:02:10+01:00,-0.88
14,2020-01-01 00:02:20+01:00,-0.9
15,2020-01-01 00:02:30+01:00,-0.92
16,2020-01-01 00:02:40+01:00,-0.94
17,2020-01-01 00:02:50+01:00,-0.96
18,2020-01-01 00:03:00+01:00,-0.97
19,2020-01-01 00:03:10+01:00,-0.99
20,2020-01-01 00:03:20+01:00,-1.0
21,2020-01-01 00:03:30+01:00,-1.0
22,2020-01-01 00:03:40+01:00,-1.0
23,2020-01-01 00:03:50+01:00,-1.0
24,2020-01-01 00:04:00+01:00,-1.0
25,2020-01-01 00:04:10+01:00,-1.0
26,2020-01-01 00:04:20+01:00,-0.99
27,2020-01-01 00:04:30+01:00,-0.98
28,2020-01-01 00:04:40+01:00,-0.97
29,2020-01-01 00:04:50+01:00,-0.96
30,2020-01-01 00:05:00+01:00,-0.96
31,2020-01-01 00:05:10+01:00,-0.95
32,2020-01-01 00:05:20+01:00,-0.95
33,2020-01-01 00:05:30+01:00,-0.95
34,2020-01-01 00:05:40+01:00,-0.93
35,2020-01-01 00:05:50+01:00,-0.92
36,2020-01-01 00:06:00+01:00,-0.89
37,2020-01-01 00:06:10+01:00,-0.89
38,2020-01-01 00:06:20+01:00,-0.86
39,2020-01-01 00:06:30+01:00,-0.83
40,2020-01-01 00:06:40+01:00,-0.81
41,2020-01-01 00:06:50+01:00,-0.78
42,2020-01-01 00:07:00+01:00,-0.76
43,2020-01-01 00:07:10+01:00,-0.74
44,2020-01-01 00:07:20+01:00,-0.71
45,2020-01-01 00:07:30+01:00,-0.69
46,2020-01-01 00:07:40+01:00,-0.68
47,2020-01-01 00:07:50+01:00,-0.64
48,2020-01-01 00:08:00+01:00,-0.61
49,2020-01-01 00:08:10+01:00,-0.59
50,2020-01-01 00:08:20+01:00,-0.56
51,2020-01-01 00:08:30+01:00,-0.54
52,2020-01-01 00:08:40+01:00,-0.51
53,2020-01-01 00:08:50+01:00,-0.49
54,2020-01-01 00:09:00+01:00,-0.47
55,2020-01-01 00:09:10+01:00,-0.44
56,2020-01-01 00:09:20+01:00,-0.42
57,2020-01-01 00:09:30+01:00,-0.4
58,2020-01-01 00:09:40+01:00,-0.37
59,2020-01-01 00:09:50+01:00,-0.35
60,2020-01-01 00:10:00+01:00,-0.33
61,2020-01-01 00:10:10+01:00,-0.31
62,2020-01-01 00:10:20+01:00,-0.3
63,2020-01-01 00:10:30+01:00,-0.28
64,2020-01-01 00:10:40+01:00,-0.26
65,2020-01-01 00:10:50+01:00,-0.24
66,2020-01-01 00:11:00+01:00,-0.22
67,2020-01-01 00:11:10+01:00,-0.21
68,2020-01-01 00:11:20+01:00,-0.18
69,2020-01-01 00:11:30+01:00,-0.15
70,2020-01-01 00:11:40+01:00,-0.13
71,2020-01-01 00:11:50+01:00,-0.11
72,2020-01-01 00:12:00+01:00,-0.08
73,2020-01-01 00:12:10+01:00,-0.06
74,2020-01-01 00:12:20+01:00,-0.04
75,2020-01-01 00:12:30+01:00,-0.01
76,2020-01-01 00:12:40+01:00,0.01
77,2020-01-01 00:12:50+01:00,0.03
78,2020-01-01 00:13:00+01:00,0.06
79,2020-01-01 00:13:10+01:00,0.08
